mass_A
t	x	y
0.000000000E0	9.000145630E-1	-1.345382594E0
1.334666667E-1	8.536220598E-1	-1.391775097E0
2.669333333E-1	7.886725552E-1	-1.484560104E0
4.004000000E-1	6.309380442E-1	-1.595902112E0
5.338666667E-1	3.525830247E-1	-1.707244120E0
6.673333333E-1	4.639250325E-2	-1.744358122E0
8.008000000E-1	-2.505195175E-1	-1.725801121E0
9.342666667E-1	-6.494950455E-1	-1.568066610E0
1.067733333E0	-8.165080572E-1	-1.484560104E0
1.201200000E0	-9.278500650E-1	-1.419610599E0
1.334666667E0	-1.011356571E0	-1.382496597E0
1.468133333E0	-9.835210689E-1	-1.410332099E0
1.601600000E0	-8.907360624E-1	-1.456724602E0
1.735066667E0	-6.309380442E-1	-1.577345110E0
1.868533333E0	-3.433045240E-1	-1.614459113E0
2.002000000E0	-6.494950455E-2	-1.614459113E0
2.135466667E0	2.969120208E-1	-1.595902112E0
2.268933333E0	5.752670403E-1	-1.530952607E0
2.402400000E0	7.701155539E-1	-1.456724602E0
2.535866667E0	9.371285656E-1	-1.345382594E0
2.669333333E0	9.742425682E-1	-1.308268592E0
2.802800000E0	9.835210689E-1	-1.336104094E0
2.936266667E0	9.464070663E-1	-1.391775097E0
3.069733333E0	8.072295565E-1	-1.493838605E0
3.203200000E0	5.752670403E-1	-1.642294615E0
3.336666667E0	1.762915123E-1	-1.735079622E0
3.470133333E0	-1.206205084E-1	-1.725801121E0
3.603600000E0	-4.453680312E-1	-1.651573116E0
3.737066667E0	-7.608370533E-1	-1.484560104E0
3.870533333E0	-9.556855669E-1	-1.419610599E0
4.004000000E0	-1.067027575E0	-1.345382594E0
4.137466667E0	-1.104141577E0	-1.354661095E0
4.270933333E0	-1.039192073E0	-1.382496597E0
4.404400000E0	-8.814575617E-1	-1.428889100E0
4.537866667E0	-5.567100390E-1	-1.549509609E0
4.671333333E0	-2.412410169E-1	-1.623737614E0
4.804800000E0	8.350650585E-2	-1.660851616E0
4.938266667E0	5.567100390E-1	-1.577345110E0
5.071733333E0	7.793940546E-1	-1.484560104E0
5.205200000E0	9.556855669E-1	-1.401053598E0
5.338666667E0	1.076306075E0	-1.298990091E0
5.472133333E0	1.113420078E0	-1.271154589E0
5.605600000E0	1.085584576E0	-1.289711590E0
5.739066667E0	9.742425682E-1	-1.391775097E0
5.872533333E0	7.793940546E-1	-1.503117105E0
6.006000000E0	5.103175357E-1	-1.623737614E0
6.139466667E0	6.494950455E-2	-1.670130117E0
6.272933333E0	-2.876335201E-1	-1.670130117E0
6.406400000E0	-6.216595435E-1	-1.577345110E0
6.539866667E0	-9.649640676E-1	-1.419610599E0
6.673333333E0	-1.122698579E0	-1.326825593E0
6.806800000E0	-1.159812581E0	-1.298990091E0
6.940266667E0	-1.141255580E0	-1.326825593E0
7.073733333E0	-1.076306075E0	-1.391775097E0
7.207200000E0	-9.092930637E-1	-1.466003103E0
7.340666667E0	-5.010390351E-1	-1.605180612E0
7.474133333E0	-1.484560104E-1	-1.642294615E0
7.607600000E0	2.412410169E-1	-1.614459113E0
7.741066667E0	7.051660494E-1	-1.521674107E0
7.874533333E0	9.278500650E-1	-1.373218096E0
8.008000000E0	1.094863077E0	-1.271154589E0
8.141466667E0	1.215483585E0	-1.196926584E0
8.274933333E0	1.196926584E0	-1.187648083E0
8.408400000E0	1.169091082E0	-1.261876088E0
8.541866667E0	9.464070663E-1	-1.419610599E0
8.675333333E0	7.051660494E-1	-1.530952607E0
8.808800000E0	3.989755279E-1	-1.633016114E0
8.942266667E0	-3.711400260E-2	-1.697965619E0
9.075733333E0	-4.268110299E-1	-1.642294615E0
9.209200000E0	-7.515585526E-1	-1.558788109E0
9.342666667E0	-1.104141577E0	-1.354661095E0
9.476133333E0	-1.215483585E0	-1.271154589E0
9.609600000E0	-1.261876088E0	-1.234040586E0
9.743066667E0	-1.196926584E0	-1.271154589E0
9.876533333E0	-1.067027575E0	-1.382496597E0
1.001000000E1	-8.165080572E-1	-1.503117105E0
1.014346667E1	-4.082540286E-1	-1.642294615E0
1.027693333E1	-4.639250325E-2	-1.679408618E0
1.041040000E1	3.433045240E-1	-1.605180612E0
1.054386667E1	7.422800520E-1	-1.466003103E0
1.067733333E1	9.835210689E-1	-1.326825593E0
1.081080000E1	1.150534081E0	-1.243319087E0
1.094426667E1	1.215483585E0	-1.150534081E0
1.107773333E1	1.215483585E0	-1.196926584E0
